keys,en,es
START_SINGLE_PLAYER,Start (single player),Comenzar (1 jugador)
PILES,Piles,Pilas
TIME_LIMIT,Time limit,Límite de tiempo
PLAYERS,Players,Jugadores
PORT,Port,Puerto
IP_ADDRESS,IP address,Dirección IP
HOST,Host,Crear partida
JOIN_MATCH,Join,Unirse
PENALTIES,Penalties,Penalidades
SOUND_EFFECTS,Sound Effects,Efectos de sonido
MUSIC,Music,Música
CHARACTERS,Characters,Personajes
QUIT,Quit,Salir
INSTRUCTIONS,"Assemble piles of characters that belong to the same Touhou game","Arma conjuntos de personajes que pertenecen al mismo juego de Touhou"
SUBMIT_HAND,Submit hand,Presentar mano
SCORE,Score,Puntaje
TIME,Time,Tiempo
GAME_FINISHED,Game finished,Juego terminado
BASE_SCORE,Base score,Puntaje base
PERFECT_HANDS,Perfect hands,Manos perfectas
TOTAL,Total,Total
PLAY_AGAIN,Play again,Jugar de nuevo
MAIN_MENU,Main menu,Menú principal
PLAYER,Player,Jugador,
WAITING_FOR_PLAYERS,Waiting for players...,Esperando jugadores...
JOINING,Joining match,Uniéndose a partida...
CONNECTED,Connected,Conectado
CANCEL,Cancel,Cancelar
DISCONNECTED,Disconnected,Desconectado
DISCONNECTED_TRYING_TO_CONNECT,Disconnected. Trying to connect to server...,Desconectado. Tratando de conectarse al servidor...
WAITING_FOR_OTHER_PLAYERS_TO_FINISH,Waiting for other players to finish...,Esperando que terminen los otros jugadores...
YOU_WIN,You win,Ganaste
YOU_LOSE,You lose,Perdiste
PERFECT,PERFECT,PERFECTO
CHOOSE_PILE,1. Choose a pile,1. Elige una pila
CHOOSE_CARD,2. Choose a card,2. Elige una carta
SWAP_CARDS,3. Swap cards,3. Intercambia cartas
FULL_SCREEN,Full screen,Pantalla completa
START_MATCH,Go!,¡A jugar!
LANGUAGE,Language,Idioma
CREDITS,"By illusorybread for Touhou Station Game Jam 2026. Touhou character art by dairi. Sound effects from SoundEffect Lab and Kenney. Additional graphics by Kenney.","Por illusorybread para Touhou Station Game Jam 2026. Arte de personajes de Touhou hecho por dairi. Efectos de sonido de SoundEffect Lab y Kenney. Gráficos adicionales por Kenney."
TOUHOU,Touhou,Touhou
MULTIPLAYER_IS_DESKTOP_ONLY,Multiplayer is only available in desktop version,El multijugador solo está disponible en la versión de PC
CARDS_SWAPPED,Cards swapped,Cartas intercambiadas
PILES_VIEWED,Piles viewed,Pilas vistas
